origin,destination,distance_miles,logistics_cost_per_mile,total_logistics_cost
Boston_MA,Kansas_City_MO,1246.71,0.01,12.47
Boston_MA,Albuquerque_NM,1966.31,0.01,19.66
Boston_MA,Oklahoma_City_OK,1491.48,0.01,14.91
Boston_MA,Las_Vegas_NV,2368.0,0.01,23.68
Boston_MA,Orlando_FL,1114.47,0.01,11.14
Boston_MA,Pittsburgh_PA,480.73,0.01,4.81
Boston_MA,Tampa_FL,1182.25,0.01,11.82
Boston_MA,Denver_CO,1763.93,0.01,17.64
Boston_MA,Dallas_TX,1547.9,0.01,15.48
Boston_MA,Detroit_MI,611.18,0.01,6.11
Boston_MA,San_Antonio_TX,1763.7,0.01,17.64
Boston_MA,Chicago_IL,847.66,0.01,8.48
Boston_MA,Tucson_AZ,2277.96,0.01,22.78
Boston_MA,Phoenix_AZ,2293.48,0.01,22.93
Boston_MA,Indianapolis_IN,804.86,0.01,8.05
Boston_MA,Columbus_OH,641.69,0.01,6.42
Boston_MA,Seattle_WA,2483.8,0.01,24.84
Boston_MA,Houston_TX,1602.6,0.01,16.03
Louisville_KY,St_Louis_MO,241.02,0.01,2.41
Louisville_KY,Charlotte_NC,342.95,0.01,3.43
Louisville_KY,Nashville_TN,154.84,0.01,1.55
Louisville_KY,Minneapolis_MN,604.09,0.01,6.04
Louisville_KY,Sacramento_CA,1920.89,0.01,19.21
Louisville_KY,Milwaukee_WI,348.97,0.01,3.49
Louisville_KY,Boston_MA,822.81,0.01,8.23
Louisville_KY,Atlanta_GA,319.95,0.01,3.2
Louisville_KY,Cincinnati_OH,89.1,0.01,0.89
Louisville_KY,Miami_FL,920.73,0.01,9.21
Louisville_KY,Memphis_TN,320.11,0.01,3.2
Louisville_KY,Fresno_CA,1856.34,0.01,18.56
Louisville_KY,Kansas_City_MO,478.73,0.01,4.79
Louisville_KY,Albuquerque_NM,1174.87,0.01,11.75
Louisville_KY,Oklahoma_City_OK,676.74,0.01,6.77
Louisville_KY,Las_Vegas_NV,1615.49,0.01,16.15
Louisville_KY,Orlando_FL,716.29,0.01,7.16
Louisville_KY,Pittsburgh_PA,342.98,0.01,3.43
Louisville_KY,Tampa_FL,736.63,0.01,7.37
Louisville_KY,Denver_CO,1034.73,0.01,10.35
Louisville_KY,Dallas_TX,725.73,0.01,7.26
Louisville_KY,Detroit_MI,315.65,0.01,3.16
Louisville_KY,San_Antonio_TX,949.71,0.01,9.5
Louisville_KY,Chicago_IL,268.74,0.01,2.69
Louisville_KY,Tucson_AZ,1476.41,0.01,14.76
Louisville_KY,Phoenix_AZ,1504.12,0.01,15.04
Louisville_KY,Indianapolis_IN,106.71,0.01,1.07
Louisville_KY,Columbus_OH,189.07,0.01,1.89
Louisville_KY,Seattle_WA,1937.25,0.01,19.37
Louisville_KY,Houston_TX,803.09,0.01,8.03
Atlanta_GA,St_Louis_MO,466.4,0.01,4.66
Atlanta_GA,Charlotte_NC,225.98,0.01,2.26
Atlanta_GA,Nashville_TN,214.1,0.01,2.14
Atlanta_GA,Minneapolis_MN,906.95,0.01,9.07
Atlanta_GA,Sacramento_CA,2080.51,0.01,20.81
Atlanta_GA,Milwaukee_WI,668.54,0.01,6.69
Atlanta_GA,Boston_MA,934.95,0.01,9.35
Atlanta_GA,Louisville_KY,319.95,0.01,3.2
Atlanta_GA,Cincinnati_OH,369.25,0.01,3.69
Atlanta_GA,Miami_FL,605.51,0.01,6.06
Atlanta_GA,Memphis_TN,336.32,0.01,3.36
Atlanta_GA,Fresno_CA,1995.11,0.01,19.95
Atlanta_GA,Kansas_City_MO,675.04,0.01,6.75
Atlanta_GA,Albuquerque_NM,1268.61,0.01,12.69
Atlanta_GA,Oklahoma_City_OK,754.73,0.01,7.55
Atlanta_GA,Las_Vegas_NV,1741.04,0.01,17.41
Atlanta_GA,Orlando_FL,401.4,0.01,4.01
Atlanta_GA,Pittsburgh_PA,521.25,0.01,5.21
Atlanta_GA,Tampa_FL,416.92,0.01,4.17
Atlanta_GA,Denver_CO,1208.65,0.01,12.09
Atlanta_GA,Dallas_TX,719.01,0.01,7.19
Atlanta_GA,Detroit_MI,596.67,0.01,5.97
Atlanta_GA,San_Antonio_TX,880.88,0.01,8.81
Atlanta_GA,Chicago_IL,587.7,0.01,5.88
Atlanta_GA,Tucson_AZ,1539.01,0.01,15.39
Atlanta_GA,Phoenix_AZ,1587.4,0.01,15.87
Atlanta_GA,Indianapolis_IN,426.57,0.01,4.27
Atlanta_GA,Columbus_OH,435.42,0.01,4.35
Atlanta_GA,Seattle_WA,2176.37,0.01,21.76
Atlanta_GA,Houston_TX,700.55,0.01,7.01
Cincinnati_OH,St_Louis_MO,306.98,0.01,3.07
Cincinnati_OH,Charlotte_NC,335.07,0.01,3.35
Cincinnati_OH,Nashville_TN,237.63,0.01,2.38
